word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5	part
трубка	Потом ватка, потом стеклышко, потом ваша кровь в виде пятна, потом девушка дует в <b><i>трубку.</i></b>	Наконец, не только щелочи, но даже одна вода может служить для разложения двууксусного метилгликола; известно, что это соединение растворяется в воде, но если его нагревать при 100, в продолжение часов 20, в запаянной <b><i>трубке</i></b> с водой, то оно растворяется и разлагается, если даже количество воды и было бы недостаточно для его растворения на холоду.	COMPARE	2.0	1	1	4	1	3	1
ломберный	Действительно, обед или, точнее, ужин, не заставил себя ждать, а вечером немцы, окружив <b><i>ломберные</i></b> столы, резались в карты, остальная же публика слушала небольшой концерт, наскоро организованный комендантом.	За отсутствием материи, пуговиц, отделок, прежние франты ухитрялись сооружать костюмы из портьер, белье из скатертей, а дамы носили шляпы из зеленого и красного сукна, содранного с <b><i>ломберных</i></b> столов дома и с письменных столов в советских учреждениях.	EARLIER	4.0	4	4	4	4	4	2
ломберный	Днем она жила под <b><i>ломберным</i></b> столиком в столовой и тихо лежала там на своем коврике.	Рукой касаться -- ни-ни: сибаритище этот оскалится тигром; что было, когда раз, завертевшись, я сломал ему ножку от <b><i>ломберного,</i></b> утонченного столика; в эту минуту звонок: он!	EARLIER	4.0	4	4	4	4	4	2
инкубатор	Как будто вышли все из одного большого кукольного <b><i>инкубатора.</i></b>	Человек возводит преграду между не изученным в аспекте питания миром естественных веществ и прирученными животными и птицей, переводя их в стойла скотных дворов и клетки <b><i>инкубаторов</i></b> и птицефабрик, считая достаточной свою осведомленность о той совокупности химических веществ, которую нужно включать в корм, чтобы, питаясь мясом и молочными продуктами, самому быть здоровым, мыслящим и энергичным.	COMPARE	1.8	2	2	1	1	3	2
похищение	"Эту историю я вспомнил потом, после темного дела с <b><i>похищением</i></b> ""Джоконды"" из Лувра, наделавшим столько шума с несчастной ""Моной Лизой"", когда на духах, помаде, на папиросных коробках орекламили ее искаженное изображение по всему миру торговцы."	Слух прошел, что какие-то повесы в Петербурге, наняв ямскую карету, произвели <b><i>похищение</i></b> некоей, благородного и уважаемого дома, девицы.	COMPARE	3.2	4	4	2	3	3	1
прислуга	"Поэтому на Арбате, в усадьбе князя И.Л. Нарышкина, слону отвели тёплый амбар, где была сделана специально печь, а ""зверовщики"" (прислуга) заботились, чтобы в помещении всегда было тепло, а корму -- ""во всяком довольстве""."	"""Интересно, -- отвечала Таня, -- но в одном месте она как-то неуважительно пишет о хозяйке дома Нине Антоновне Ольшевской: ""Я пришла к Анне Андреевне с тортом, -- пишет Чуковская, -- Анна Андреевна усадила меня и сама вышла распорядиться насчет чая ... а за стеной шумели гости"", -- а ведь у Нины Антоновны было двое детей, муж, а <b><i>прислуги</i></b> не было""."	LATER	3.0	1	4	4	4	2	2
мама	Его <b><i>маму</i></b> я через несколько лет после этого видел как-то в театре, но не спросил адреса, а по старому она уже не живет.	-- <b><i>Мама</i></b> занята.	COMPARE	4.0	4	4	4	4	4	1
валюта	Итальянские журналисты далее сообщают, что этот счет мог использоваться только для продажи <b><i>валюты</i></b> на <b><i>валютных</i></b> биржах, коммерческим банкам и для трансфертов по приказу российского Минфина.	Тогда же, во времена первой пятилетки 1929--1933 годов, прекращается исполнение всех современных иностранных композиторов, но уже по другой, более утилитарной причине: не было лишней <b><i>валюты,</i></b> которой нужно было платить за заграничный нотный материал и авторские авторам.	COMPARE	3.6	4	2	4	4	4	2
прислуга	Для этого была разработана система молчания <b><i>прислуги</i></b> и исчезновения Татьяши для всех.	На лугу, у господского дома, еще танцевали и <b><i>прислуга</i></b> собирала ужин для засидевшихся господ, когда адъютант вызвал Саблина и сказал ему, что так как поручик Фетисов слишком много выпил и ему неудобно в таком виде ехать в разъезд, командир полка приказал ехать Саблину.	EARLIER	3.8	4	4	3	4	4	2
двушка	Мариша жила в обычной панельной <b><i>двушке,</i></b> которую бывший муж старательно модернизировал до вполне человеческого вида.	<b><i>Двушка!...</i></b>	COMPARE	1.0	1	4	0	0	0	2
стачка	Железнодорожники постановили к <b><i>стачке</i></b> примкнуть.	Но настоящий подъем революционного движения начинается в апреле -- мае 1912 года, когда вспыхнули массовые политические <b><i>стачки</i></b> в связи с ленским расстрелом рабочих.	EARLIER	3.2	1	4	3	4	4	2
присутствие	Сегодня в <b><i>присутствии</i></b> начальствующих лиц и некоторых оставшихся в живых участников славной обороны Севастополя в строительной комиссии по восстановлению памятников обороны состоялось освящение грандиозной панорамы Севастополя.	В <b><i>присутствии</i></b> первого учителя в ней проснулась его ученица.	EARLIER	4.0	4	4	4	4	4	1
провальный	Собственно, все уже были в сборе; присутствовали еще математик Людмила Георгиевна, аккуратно пополневшая, и ее небольшой испуганный муж с белеющей сквозь дикобразовый зачес наклонной лысиной и длинным, острым, каким-то чертежным носом, пытавшийся ухаживать за дамами и беспокоивший их своими неловкими локтями; Комариха не пришла, сославшись на грипп, а в действительности по разным смутным признакам почуяв <b><i>провальный</i></b> для себя скандал.	По улицам города, звонко брякая черпаком по обледенелым бочкам, катили полупьяные водовозы и золотари, на столбах кричало радио, в ресторане и в клубах играл баян, дети много читали, маршировали в военных кружках, изучали винтовку, кидали учебные гранаты и не зря учились -- воевали потом, после первого <b><i>провального</i></b> периода, на фронтах как надо.	COMPARE	3.4	1	4	4	4	4	2
гололед	Количественно оно требует уточнения: <b><i>гололедом</i></b> называют слой льда толщиной от одного миллиметра и выше.	Так было ежедневно до того марта, в <b><i>гололед,</i></b> когда нога провалилась в пустоту, портфель выпал и кто-то сильный схватил за ворот, выволок на площадку.	EARLIER	3.4	2	4	4	4	3	2
больница	Обширный материал Илленауской <b><i>больницы,</i></b> огромное оживление в среде ее медицинских работников (куда входили Зандт, Рейх, Гассе, Кирн, Гудден, Крафт-Эбинг), а также учение Мореля, бывшее в фокусе всеобщего внимания, создали в высшей степени благоприятную атмосферу для научной работы, в результате чего из Илленау вышло много психиатрических исследований, в том числе труды Шюле.	".."" Вскоре Писарева посадили в карету и отвезли в психиатрическую <b><i>больницу,</i></b> где он и пробыл 4 месяца."	COMPARE	4.0	4	4	4	4	4	1
управление	"Некоторые указания были весьма ценными, как-то: взаимная ориентировка в положении неприятеля и в своих действиях и предположениях между общевойсковыми начальниками и подчиненными им артиллерийскими начальниками; введение артиллерии в бой сразу в таких силах, чтобы достигнуть перевеса в огне; образование самостоятельных артиллерийских боевых участков; признавалось, что ""в небольших отдельно действующих отрядах легкую полевую артиллерию выгодно не распределять по участкам"" пехоты; важность в бою не массирования орудий, а возможности сосредоточения огня, с раздельным расположением для этой цели артиллерии: на боевых участках, но для облегчения <b><i>управления</i></b> огнем считалось полезным артиллерийские дивизионы без надобности не разделять; охватывающее расположение артиллерии, чтобы иметь возможность обстреливать неприятеля ""фланговым или хотя бы косым огнем""; важность связи между пехотой и артиллерией, установление которой возлагалось на артиллерийских начальников; выдвижение к авангарду хотя бы некоторых частей артиллерии главных сил, не ожидая развертывания их в боевой порядок, чтобы поддержать это развертывание и быстрее достигнуть перевеса в артиллерийском огне над противником и пр."	Там он обнаружил статью М. А. Крутикова об автоматическом <b><i>управлении</i></b> планетолетом, попытался прочесть ее и со смущением отметил, что разобраться не может -- слишком много математики.	LATER	2.8	4	4	2	3	1	1
отдел	Когда случалось бывать в городе, он обязательно заходил в <b><i>отдел,</i></b> где продавались шляпы, и подолгу там ошивался.	9-е почтвое <b><i>отдел.,</i></b> до востреб., пред. почт. расписки 322. неизвестный.	COMPARE	2.0	3	1	1	3	2	1
палата	"Но, в самом деле, что же делать-то Как же спасать революцию ""Тревожное настроение"" дошло даже до самой ""звездной <b><i>палаты"".</i></b>"	Шизофреник качается посреди больничной <b><i>палаты.</i></b>	LATER	1.8	1	2	1	4	1	1
машина	Через сверкающие окна видны колеса, огни, <b><i>машины.</i></b>	"Гулять на улицу меня не пускали, да и некогда было гулять, -- работа всё росла; теперь, кроме обычного труда за горничную, дворника и ""мальчика на посылках"", я должен был ежедневно набивать гвоздями на широкие доски коленкор, наклеивать на него чертежи, переписывать сметы строительных работ хозяина, проверять счета подрядчиков, -- хозяин работал с утра до ночи, как <b><i>машина.</i></b>"	COMPARE	1.8	3	1	2	1	2	1
инкубатор	Но <b><i>инкубатор</i></b> гораздо лучше.	Он мог без устали и отдыха говорить и дни и ночи напролет о различных сортах навоза, о породах свиней, о курах, утках, <b><i>инкубаторах.</i></b>	EARLIER	4.0	4	4	4	4	4	2
свалка	Где именно жгли все эти беззвучные мольбы, рыдания, эти бессонные ночи -- за городом ли, в городе ли на особой <b><i>свалке</i></b> Этого я до сих пор не знаю.	В самом деле -- какой-то нож фигурировал над <b><i>свалкой.</i></b>	LATER	2.6	1	3	4	2	3	1
корпус	Все мы получили совершенно определенный приказ командира <b><i>корпуса</i></b> -- овладеть Бескидским хребтом и вторгнуться в Венгрию.	Во время дебатов по этому поводу в штабе армий сомнения были устранены с получением известия, что <b><i>корпуса</i></b> Наревской армии уже частично перешли южную границу Восточной Пруссии и вышли на линию Юха, Пельты, Хоржеле, Кржиновлога, Млава, что могло поставить под угрозу тыл и пути 8-й германской армии к Висле.	EARLIER	4.0	4	4	4	4	4	2
рождество	А параллельно, в трагедии, -- во дворце герцога Орсино -- репетировали к <b><i>Рождеству</i></b> Христовые мифы.	-- Парни, <b><i>рождество</i></b> скоро, Пресвятой Богородицы!	LATER	3.8	4	4	3	4	4	2
отрывок	Слушай, колыбельная песнь, кажется, удалась, что касается до отрывка из Баллады, то прочти его, покажи Губеру, если хочешь, и, если одобрят, тогда и помести в статье, а иначе и проч.	"Я считаю вышеприведенные ритмы бедными; вытянутость ритмических линий у Алексея Толстого и обилие точек, не соединенных линиями, характеризуют в первом случае ритмическое однообразие отступлений от ямба; во втором случае обилие точек указывает на многочисленность метрических строк, часто подавляющих ритм и придающих стиху деревянную сухость; насколько богаче ритм 15-летнего Пушкина; ритм у Пушкина образует ломаные линии; тут и углы, и прямоугольники, и ""крыша"", и фигура, напоминающая букву ""М"" (образованная полуударениями на третьей и второй стопах), столь характерная для Ломоносова и Державина; обилие же прямоугольников уже намекает на позднейшую эпоху; вместе с большей длиннотою ритмических линий, вместе с большим количеством полуударений отдельные точки почти отсутствуют: у Капниста их 5; у Бенедиктова -- 6; у юного Пушкина -- только одна точка; в приведенных образцах ритмов из имеющегося у меня материала я нарочно подобрал такие отрывки, которые уже сами по себе характеризуют ритм авторов."	EARLIER	4.0	4	4	4	4	4	1
вирус	В нем плавает какой-то зловредный <b><i>вирус,</i></b> о чем сообщили в газетах.	"И все-таки даже после этого немецкий ученый Биттнер, открывший в 1936 году <b><i>вирус</i></b> рака молочной железы мышей, передающийся от матери к детенышам с молоком, побоялся назвать его <b><i>вирусом</i></b> и ограничился расплывчатой формулировкой ""фактор молока"", -- с таким большим трудом пробивала себе дорогу <b><i>вирусологическая</i></b> точка зрения на природу рака."	EARLIER	3.8	4	3	4	4	4	2
собор	"На Мотовилихе и в Перми группа сознательных рабочих, поддерживавшая и распространявшая газету ""Правда"", занялась вопросом об организации редакционной комиссии по <b><i>собору</i></b> и редактированию материалов для ""Правды"" и широкой постоянной поддержки газеты."	Отслужена в Казанском <b><i>соборе</i></b> панихида по генерал-фельдмаршале светл. кн. М. И.	EARLIER	1.0	1	1	1	1	1	1
обвинитель	Генерал Руденко -- главный <b><i>обвинитель</i></b> от СССР -- представил суду показания фельдмаршала Паулюса.	Янсон раздраженно уверяет: не волнуйся, будет настоящий суд, будет <b><i>обвинитель,</i></b> защитник, будут члены суда, публика, журналисты, но у него, Янсона, предварительное мнение четкое.	LATER	4.0	4	4	4	4	4	1
переулок	Угол его, выходивший на набережную и Апраксин <b><i>переулок,</i></b> занят был громадным дровяным складом.	Мы не знали, в которую сторону идти: улиц множество и переулков тоже.	EARLIER	3.8	3	4	4	4	4	1
обвинитель	Кроме последних, захвачены были некоторые из слуг герцога, домашние его шпионы явились <b><i>обвинителями.</i></b>	Самому <b><i>обвинителю</i></b> писали его прежние приятели поодиночке и коллективно письма, полные упреков, -- одно из них было подписано общими друзьями нашими (из них три четверти ближе теперь к Ч., чем к нам), он сам с античной доблестью прислал это письмо для хранения в нашей оружейной палате.	EARLIER	3.6	4	3	3	4	4	1
флакон	31 декабря с сержантом из его роты, ехавшим по делу в штаб дивизии, он отправил переводчице только что врученную ему посылочку -- подарок от тружеников тыла: <b><i>флакон</i></b> духов, шерстяные варежки и пачку печенья.	Ее рука задрожала: <b><i>флакон</i></b> стукнул о стол и остался стоять, -- безмолвный свидетель чувств, достойных милосердного эшафота.	EARLIER	3.6	4	4	4	3	3	2
мазь	Традиционная надпись была сделана то ли дегтем, то ли колесной <b><i>мазью,</i></b> картину завершал внушительный восклицательный знак, подставленный уже мелом кем-то, вероятно, другим.	Он обмыл рану вином, приложил какой-то <b><i>мази,</i></b> обвязал и, с улыбкою закручивая усы, сказал: -- Уверяю, атаман, что через шесть диен ты так же проворно и легко будешь владеть саблею, как и до сего неприятного случая.	COMPARE	3.2	4	4	3	4	1	1
стаканчик	-- Хотите <b><i>стаканчик,</i></b> эфенди -- предложил бармен за выносной стойкой.	Еремей благословил по <b><i>стаканчику.</i></b>	COMPARE	4.0	4	4	4	4	4	2
казенный	"В мое время Изборск, как и многие старинные города в России, действительно ""пал"", по выражению моего киевского учителя географии, и в нем из <b><i>казенных</i></b> учреждений оставалась лишь <b><i>казенная</i></b> винная лавка -- этот надежнейший источник пополнения российского государственного бюджета."	Брат того Семку -- а он был тогда гулящим -- обрядил в <b><i>казенный</i></b> стрелецкий кафтан головленковский и лошадь дал для езды дьячему делу помешать.	LATER	3.2	3	3	3	4	3	1
насаждение	Вслед затем, пред совершением литургии, отслужена была высокопреосвященным митрополитом сначала вселенская панихида по православным воинам, за веру и отечество на брани убиенным, а также по умершим деятелям <b><i>насаждения</i></b> в народе трезвости.	Коль сладко вкушение плодов собственнаго <b><i>насаждения!</i></b>	EARLIER	1.2	1	2	1	1	1	1
глянец	"Глядишь, после мюзикла ""Норд-Ост"" и такой, в глянце, раскупят."	Нет ничего вреднее желания навести розовый <b><i>глянец</i></b> на реакционный облик Достоевского.	COMPARE	2.0	2	1	3	1	3	2
смотритель	"Между ними и a great boa-constrictor serpent из Цейлона, ""чудо века"", как называют его <b><i>смотрители</i></b> менажери, никогда еще в Англии не виданное; другая змея, называемая Арлекином блестящим, по разнообразию своих чешуй и красок; крокодил с Нила; хамелеон из Африки; в затворах мирно прохаживается эфиопский зебр и дружно лежат пара кенгаров (male and female), воспитанных уже в добрых нравах Виндзорского парка."	Надо было и покупать хлеб для мельницы, весь сырой материал, приискивать мастеров, за всем наблюдать и все это при его многотрудной и опасной казенной службе <b><i>смотрителя</i></b> и устроителя казенных поселений, при его служебной переписке, беспрестанных разъездах, так что надо было удивляться, как его достает на все это.	EARLIER	3.6	3	4	3	4	4	1
карта	Двигаться в направлении того квадрата топографической <b><i>карты,</i></b> что выцветал на моей стене.	У круглого стола в середине поста, над голубой <b><i>картой</i></b> рельефа дна Саргассова моря, склонился капитан.	COMPARE	3.8	3	4	4	4	4	2
обвинитель	Удивляется <b><i>обвинитель:</i></b> а какая опасность грозит патриарху зачем придумано его защищать -- и какая же тревога православным о патриархе Все два года не молчал патриарх Тихон -- слал послания народным комиссарам, и священству, и пастве; его послания (вот где первый Самиздат!) не взятые типографиями, печатались на машинках; обличал уничтожение невинных, разорение страны -- и какое ж теперь беспокойство за жизнь патриарха А вот вторая вина подсудимых.	Особого такта и выдержки требует и отношение <b><i>обвинителя</i></b> к противнику в лице защитника.	COMPARE	3.6	4	4	4	2	4	1
прозвище	"И там кличка ""intellectuel"" -- бранное <b><i>прозвище.</i></b>"	-- Вы забываете, -- добавил он, взявши фуражку, -- что ведь это -- тема, не дописанная тургеневским Рудиным! -- а мне <b><i>прозвище</i></b> Рудина, которое я имел честь получать не раз от двух женщин, надоело до смерти!	EARLIER	4.0	4	4	4	4	4	1
философ	"Он молился, конечно, не ради ""холанцкого <b><i>философа</i></b> господина Спинозы"" -- о тоске молился генерал."	"<b><i>Философ</i></b> Фрэнсис Бекон, ниспровергая так называемые ""вечные истины"" средневековых схоластов, призывал к созданию науки, основанной на опыте, на изучении вещей."	LATER	4.0	4	4	4	4	4	1
дивизион	Во время обеда в столовую вошел дежурный полицейский урядник и доложил, что прибывший командир <b><i>дивизиона</i></b> Одесского драгунского полка подполковник барон Врангель желает меня видеть.	Даниловка, Солодкая Балка, имея один сп р-не Успеновка; 164 сд одним полком обороняла рубеж (иск.) Солодкая Балка, Пришиб, имея главные силы р-не Остроковка; 96 гсд одним сп обороняла рубеж (иск.) Пришиб, Лихтенау, главные силы -- в движении р-н Стульневка; 4 сд -- на прежних позициях; 8 мп группы Воеводина -- без одного <b><i>дивизиона</i></b> -- в армейском резерве р-не Ивановка; сведений о 296 сд не поступало, положение уточняется.	EARLIER	4.0	4	4	4	4	4	2
дума	Несколько раз они уже подходили близко к исполнению своего намерения, да только Бог уничтожал их высокомерные <b><i>думы</i></b> и освободил от прелютого ярма немецкого.	-- Неужели ты населена одними мечтаниями нашими Для чего так любовно летят к тебе взоры и <b><i>думы</i></b> человеческие Для чего так мило сердцу твое мерцанье, как дружеский привет иль ласка матери Не родное ли ты светило земле Не подруга ли ты судьбы ее обитателей, как ее спутница в странничестве эфирном Прелестна ты, звезда покоя, но земля наша, обиталище бурь, еще прелестнее, и потому не верю я мысли поэтов, что туда суждено умчаться теням нашим, что оттого влечешь ты сердца и <b><i>думы!</i></b>	EARLIER	4.0	4	4	4	4	4	1
мама	Но, пожалуйста, вы все сделайте, что <b><i>мама</i></b> скажет.	<b><i>Мама</i></b> ходила в темных платьях, часто говорила, что у нее болит голова, и приказывала Поле зажигать в маленькой гостиной только одну лампу с красным абажуром.	EARLIER	4.0	4	4	4	4	4	1
похищение	"Именно здесь экспонировалась картина Рембрандта ван Рейна ""Портрет молодого человека"", над которым нависла угроза <b><i>похищения.</i></b>"	"<b><i>Похищение</i></b> жениха С. Кулис-Кари, Кутаисск. губ., произошел, по словам ""Баку"", следующий редкий случай."	COMPARE	3.4	4	1	4	4	4	1
завязка	"Николай Качурин построил великолепный по своей <b><i>завязке</i></b> и интриге сюжет статьи на противопоставлении ""таинственного незнакомца"" -- 996-й модели от TechArt -- с серийным Porsche 911."	На рассвете залили в бак под <b><i>завязку</i></b> семьдесят второго, -- другого горючего в городке не водилось, -- и попилили, клацая клапанами от нестандарта, поперек Украины в сторону Запорожья.	COMPARE	1.6	4	1	1	1	1	2
мазь	Наиболее странные для европейца были: бобовая <b><i>мазь</i></b> из сои, коричневого цвета, кисло-соленого вкуса, напоминающего старый сыр; соленые яйца, у которых желток был бурого цвета, а белок -- синего, чуть просвечивающий.	Вообще полезно, передъ наложенемъ всякаго притиранья, кожу вымазать прежде выше означенною <b><i>мазью.</i></b>	COMPARE	3.4	3	4	2	4	4	1
сволочь	<b><i>Сволочь</i></b> уличная, барабанные шкуры!	"Учащались ссоры на улицах: с дворниками, сторожами; учащались ссоры на улицах с захудалым квартальным; дворника, полицейского и особенно квартального надзирателя задирал пренахально: рабочий, приготовишка, мещанин Иван Иванович Иванов с супругой Иванихой, даже лавочник -- первой гильдии купец Пузанов, от которого в лучшие и недавно минувшие дни околоточный разживался то осетринкой, то семушкой, то зернистой икоркой; но теперь вместо семушки, осетринки, зернистой икорки на квартального надзирателя вместе с прочею ""сволочью"" вдруг восстал первой гильдии, его степенство, купец Пузанов, личность небезызвестная, многократно бывавшая в губернаторском доме, ибо как-никак, -- рыбные промыслы и потом пароходство на Волге: как-никак, от такого случая присмирел околоточный."	EARLIER	3.6	4	4	2	4	4	1
однодневка	Тянутся к Учению, может быть, подойдут ближе, лишь бы не оказались бабочками-однодневками.	Они, может быть, не <b><i>однодневки,</i></b> пусть -- трехдневки.	EARLIER	2.0	0	2	4	3	1	2
знатный	"""Почему стихи И почему такие длинные"" Сюжетом стихов была легенда о жившей некогда под Эмсом <b><i>знатной</i></b> госпоже фон Штейн, которая так удачно женила своих сыновей и выдала замуж дочерей, что не было пределов ее земному счастью."	"Его правила требовали для признания виновности ""лучшего доказательства всего света"", как выражался закон, то есть собственного признания или, во всяком случае, не менее двух присяжных свидетельских показаний, причем в оценке этих показаний отдавалось предпочтение <b><i>знатному</i></b> перед незнатным, мужчине перед женщиной, духовной особе перед светской, и закон воспрещал доверять показаниям ""людей, тайно портивших межевые знаки"", ""явных прелюбодеев"" и ""иностранцев, поведение коих не известно""."	COMPARE	3.6	4	4	2	4	4	1
правитель	"Подхалимовские <b><i>правители</i></b> были люди хотя и молодые, но необыкновенно бойкие; поэтому они не знали ни препятствий, ни затруднений, в советах нужды не чувствовали, и при этом были совершенно искренно убеждены, что так называемые ""законные основания"" только стесняют, а никакой опоры не дают."	Неспособные и бессильные, атакованные со всех сторон, прежние <b><i>правители</i></b> уносятся вихрем восстания, если восстание имеет действительно народный характер.	EARLIER	3.4	4	4	2	4	3	1
мама	Поэтому, когда <b><i>мама</i></b> осторожно спросила Лизу, как она относится к тому, что дядя Костя может оказаться ее новым папой, Лиза ответила уклончиво: -- В папы он годится, но в гости его с собой не бери.	<b><i>Мама,</i></b> часто сморкаясь и пряча лицо, собирала мой чемодан.	LATER	4.0	4	4	4	4	4	1
стачка	"Помню, как Е.М. Ярославский в ""Правде"" написал о состоявшейся в 30-х годах <b><i>стачке</i></b> в Орехово-Зуеве."	К настоящему времени <b><i>стачка</i></b> завершена, однако менеджмент еще не принял решение об удовлетворении их требований.	LATER	3.8	4	3	4	4	4	2
перестройка	До <b><i>перестройки</i></b> этот парень работал, наверное, на том же заводе, жил на берегу, любил рыбалку.	Идет <b><i>перестройка.</i></b>	LATER	2.8	2	1	4	3	4	2
директор	На правах коммерческого <b><i>директора</i></b> переговоры вел Меркурий.	Нет, <b><i>директор</i></b> Энгельгардт не совсем понимал его.	LATER	4.0	4	4	4	4	4	1
дума	А они там, в городской <b><i>думе,</i></b> завтра -- ого!	Даже если специально гнать из головы эти самые <b><i>думы,</i></b> они же мысли, они же рассуждения, они же размышления, ну вот сидеть и все, -- нет, все подмечает глаз, все врастает в память.	LATER	1.0	1	1	1	1	1	1
взлом	Ведь кража-то совершена без <b><i>взлома</i></b> дверей и подбора ключей к замкам.	Так и есть: достаточно для боя, но не для <b><i>взлома</i></b> перемычек.	EARLIER	2.6	1	4	1	4	3	2
философ	Такое понимание тоталитаризма дало повод русскому богослову и <b><i>философу</i></b> архим.	На деле из этого все-таки ничего не вышло: Гершензон получил листки, но некто Ш., по роду занятий <b><i>философ,</i></b> по характеру весельчак и бурш, умудрился купить у мальчишки из книгоиздательства изрядное количество вырезанных листков и раздавал их направо и налево всем желающим.	LATER	3.8	4	4	4	3	4	1
свинцовый	Урановый или плутониевый образец, помещённый в <b><i>свинцовую</i></b> оболочку толщиной 10 сантиметров, может быть выявлен за 0,5-1 минуту работы мюонного следового детектора.	Под предохранительной крышкой имелся вполне работоспособный подрывной блок тройного действия, но под блоком не было ничего: колодец, куда помещается собственно заряд, титановый стакан с плутонием и взрывчаткой, -- этот колодец был до краев наполнен крупной <b><i>свинцовой</i></b> дробью.	LATER	4.0	4	4	4	4	4	2
правитель	Отец думал по-другому и понимал, что <b><i>правитель</i></b> есть пастырь, поставленный для того, чтобы защищать вдовиц и сирот, хранить Русь от врагов, что щелкают со всех сторон зубами.	В тот же день художник покинул Флоренцию, не ожидая мести оскорбленного <b><i>правителя.</i></b>	LATER	3.6	4	2	4	4	4	1
казенный	Обычным <b><i>казенным</i></b> путем, то есть через публикацию, было невозможно довести до сведения выборщиков, что им надо ехать в Острог вторично.	"На улице, как и в Тульче, попадались мне яркие сарафаны и серые поддевки; собор напомнил мне наш калужский собор и столько других храмов наших, построенных по ""казенному"" образцу недавней старины, той плохой и безвкусной старины, от которой мы стали постепенно освобождаться только разве с половины царствования государя Николая Павловича."	COMPARE	2.2	1	4	2	2	2	1
отделение	В видах упрощения таможенных формальностей для прибывающих из-за границы экспонатов с 18 марта будет открыто <b><i>отделение</i></b> таможни при манеже, в котором будет находиться выставка. неизвестный.	Фантазируя в безделье, Наполеон издал декрет об уничтожении крепостного права, о восстановлении татарского царства на Волге, о провозглашении себя польским королем, <b><i>отделении</i></b> западной России, восстановлении смоленского княжества и т. д., и т. д.	EARLIER	1.0	1	1	1	1	1	1
