Error type,Sentence 1,Sentence 2,Model score,Annotators scores
2,"Харламов в трусах, лежит на <b><i>животе</i></b>.",Вот я нажимаю вам на <b><i>живот</i></b> и могу прощупать позвонки.,1,4 4 4
2,"Слухач, пошатываясь и заплетая кривые ноги, ходил кругами, расплескивая пригоршнями коричневый травобой из огромного горшка, подвешенного на <b><i>животе</i></b>.",Двумя пулями -- в <b><i>живот</i></b> и в голову -- Дмитрий Гущин был ранен.,1,4 4 4
4,"Сейчас мы слишком близки сами все от Черты, чтобы чувствовать по-человечески, за других, не только за <b><i>живот</i></b> свой.","Шпрехт любил ее <b><i>живот</i></b>, на полюсе которого торчал круглый, как пуговица, пупок.",4,1 1 1
1,"Вновь взглянув на часы, Юргин вдруг быстро сбросил с себя полушубок, снял шапку, а из нагрудного <b><i>кармана</i></b> гимнастерки вытащил карандашик и маленький блокнот.","Новые порции мрамора проваливаются в <b><i>карман</i></b>, и машина хрупает их, как капустные кочерыжки, и снова летят искры, мерцают и гаснут в темном стальном кошельке.",4,1 1 2
4,"Он озирается по сторонам: -- Кто это спас меня -- Это я, твой ангел-хранитель, я у тебя в <b><i>кармане</i></b>.",Он спрятал ее в <b><i>кармане</i></b>.,4,2 4 1
4,"-- Бабка спрятала письмо в <b><i>карман</i></b> передника, оделась и вышла из избы.",Они обернутся лишь очередным масштабным перекачиванием бюджетных средств в частные <b><i>карманы</i></b>.,1,2 4 2
2,"Волной взрыва снесена <b><i>крыша</i></b> шатра колокольни, а над всем храмом она буквально изрешечена и требует полной замены.",Утром 31 мая река прибывала со скоростью 7 см в час и добралась почти до <b><i>крыш</i></b>.,1,4 4 4
3,"Зелень резко отделяется от обнимающей ее синевы, но если смотреть не мигая, то синева начинает зеленеть, а листва окрашивается синькой, и мир становится иссиня-зеленым, и белая школа, белая ограда медленно окунаются в этот мир, и Лиза начинает видеть в нем то, что заслонено от глаз ближними <b><i>крышами</i></b> и деревцами улицы.","-- На месте у твоей подружки <b><i>крыша</i></b>, можешь сама посмотреть.",4,1 1 1
1,"<b><i>Крыша</i></b> рухнет на меня и на вас"".","-- Да это чтоб мусора уважали, -- ответил Морковин, -- и с <b><i>крышей</i></b> своей не лезли.",4,1 1 1
2,"С этой тропинки хорошо видна поднимающаяся над <b><i>крышами</i></b> серая вышка ратуши, а на ней -- позолоченный циферблат городских часов.","Это на <b><i>крыше</i></b> замёрзли желоба, где-то чего-то тает и течёт не туда.",1,4 4 4
2,"Тот внимательно его осмотрел, детально обо всем расспросил и заверил, что болезнь поддается <b><i>лечению</i></b>.",Физиотерапевтическое <b><i>лечение</i></b>.,1,4 4 4
2,"Наш современный подход характеризуется принципом рассеивания психопатов, признанных социально опасными для принудительного <b><i>лечения</i></b> по различным психиатрическим больницам.","Так, в шорт-лист совершенно не по праву вошел роман Вадима Месяца ""<b><i>Лечение</i></b> электричеством"", и, видимо, поэтому туда не попал отличный роман Валерия Исхакова ""Легкий привкус измены"" (""Дружба народов"", 2-3, 2002).",1,3 4 3
2,После клинических испытаний красный стрептоцид начинают широко применять для <b><i>лечения</i></b> многих воспалительных заболеваний.,"Авиадиспетчера, дежурившего во время катастрофы Ту-154, лечат от шока Швейцарский авиадиспетчер, отдававший команды пилотам Ту-154 непосредственно перед его столкновением с грузовым ""Боингом"", вчера весь день проходил курс <b><i>лечения</i></b> от эмоционального шока.",1,1 3 4
4,<b><i>Линейка</i></b> и отвес символизировали равенство сословий.,"Фройляйн Ирэна, подите к доске, я дам вам <b><i>линейкой</i></b> по жопе!",1,4 4 4
1,Нередко воспитатель пускал в ход <b><i>линейку</i></b> и даже ружейный шомпол.,Эта <b><i>линейка</i></b> была запряжена парой серых в яблоках орловских рысаков.,4,1 1 1
1,"Подъезжая к Покровскому монастырю, Берг выскочил из <b><i>линейки</i></b>, подбежал к карете, где сидели вдова с дочкой, открыл дверцу кареты и -- с ловкостью военного -- помог дамам выйти из нее.","Наш класс оканчивает среднюю школу, в школьном дворе построена <b><i>линейка</i></b>.",4,1 1 1
1,"- Что ж ты думаешь, Совет Министров и три министерства так враз и запляшут по твоему слову И в самом деле <b><i>маньяк</i></b>!","Она оставила в квартире <b><i>маньяка</i></b> некоторые свои вещи, чем он и воспользовался.",4,2 1 1
1,"Сколько мы видели изображений Пушкина, где он похож на восторженного <b><i>маньяка</i></b>!","<b><i>Маньяк</i></b>, разумеется, был тут же задержан, дело происходило в десять утра, и народу на улице было полно.",4,2 1 2
3,"Но все это, в сочетании с еще дополнительным сроком, только усилило навязчивую идею <b><i>маньяка</i></b>.","И фильм Дюмона, также обращенный к невосприимчивости зрителя, невосприимчивости к пустоте, обнажающей свою эффективность в ожидании, в готовности принять отсутствие целесообразного действия как отсутствие ""нормы"", предлагает принять правила другого (""<b><i>маньяка</i></b>"").",4,2 1 4
3,"И скоро это были уже никакие не силуэты и не мешки, а очевидные уроды или даже <b><i>монстры</i></b>, которые вызвали бы удивление и у служащих кунсткамер.",В спальне Кенетты вовсю порезвился <b><i>монстр</i></b>.,4,1 2 1
1,"И последние дни жизни в Нижнем мы, весело с ним подбоченившись, с хохотом, с грохотом мчались по миру идей, как по чащам, охотясь за ""<b><i>монстром</i></b>"".","И после этого вы будете продолжать петь мне о том, что вы встретили и полюбили, что вы нормальный живой человек Да вы чудовище, Валерий Васильевич, вы <b><i>монстр</i></b>, которому не место среди людей.",4,1 2 2
1,"Он чувствовал, что теперь навсегда прекратятся встречи ее с той компанией <b><i>монстров</i></b>, что и те ребята не будут <b><i>монстрами</i></b>: повзрослеют, обзаведутся семьями.","Вспомнив сериал, герой которого в минуту опасности преображался в зеленого <b><i>монстра</i></b>, я восторженно выкрикнул: ""Incredible Hulk!"" ""Невыносимый Халк"", -- неправильно, но точно перевел довольный Довлатов.",4,3 1 1
2,"Писал Хлебников непрерывно и написанное, говорят, запихивал в <b><i>наволочку</i></b> или терял.","-- Ефим задушевно смотрел на большие желтые пуговицы, какими совсем недавно застегивали матрасы и <b><i>наволочки</i></b>.",1,4 4 4
2,"Не с мешком, а с <b><i>наволочкой</i></b>.","Сейчас же убедила себя, что вышивать нужно -- рубашечки для внука, <b><i>наволочку</i></b>, платочки.",1,4 4 4
3,Деньги сквозь <b><i>наволочку</i></b> давили в висок.,"Надо бы спросить у Халиля -- вырывают ли и сегодня языки у ткачей, как в прежние добрые времена, -- дабы те не разболтали секрета производства шелка И вот еще что: надо разориться и купить в подарок Марго пару <b><i>наволочек</i></b> из этой нежнейшей и легчайшей ядовитой материи.",1,4 4 4
4,"Готовые связки Лина подвешивает возле печи, тут и досушивает их, сортирует: грибная крошка в пакеты (пойдет по своей цене, осенью поганка, зимою -- рупь банка), боровики -- в <b><i>наволочку</i></b>, маслята -- на железные противни.","Без <b><i>наволочек</i></b>, без простыней!",1,1 4 1
1,Поэтому следует избегать <b><i>наложения</i></b> чрезмерного количества красок на лице.,Исчерпывающий замысел результирующий эффект и здесь возникает при совмещении всех произведенных в тексте смен КП (и при их <b><i>наложении</i></b> на аналогичные процессы в сфере смен и <b><i>наложений</i></b> РЦ).,4,1 1
1,"Короче говоря, в голове Николая Ивановича Олексина существовала полная путаница, вызванная <b><i>наложением</i></b> двух войн на одну совестливую душу.",Неприкосновенность жилища должника может нарушить судебный исполнитель при <b><i>наложении</i></b> ареста на его имущество или при изъятии у него определенных предметов.,4,2 1 1
4,"Это было кровавое выступление, стоившее сотен жертв, ранеными и убитыми, и сопровождавшееся унижением русского национального достоинства, разоружением воинских частей, захватом судов и <b><i>наложением</i></b> японской опеки на наиболее значительные государственные, общественные и частные учреждения.",Непредставление отчета или срыв сроков представления влечет за собой <b><i>наложение</i></b> штрафа (размер колеблется от 100 до 5 000 фунтов стерлингов).,4, 3 3 1
1,"Сквозь решетку юрты он видел <b><i>огни</i></b> костров, озарявшие багровыми отблесками сидевших кружками воинов.","-- Открывайте <b><i>огонь</i></b>, ннамать! -- вдруг вскипел Колька.",4,1 1 1
2,"Очень хотелось сесть погреться у <b><i>огня</i></b>, но он знал, что не сядет и не уйдет отсюда, пока не получит документов.","Загорание было вовремя замечено, и пожарные смогли быстро справиться с <b><i>огнем</i></b>.",1,4 4 4
1,По обе стороны реки пылали бивачные <b><i>огни</i></b>.,"А вчера ночью принесли посланного связного, говорят, что он попал под <b><i>огонь</i></b> случайно -- наш часовой принял его в темноте с перепугу за лазутчика.",4,1 1 1
1,Пришлось бы прибегнуть к иронической <b><i>риторике</i></b> и диалогическим каламбурам.,"Современных школьных программ по <b><i>риторике</i></b>, к сожалению, не знаю, и рекламой не занимался.",4,1 2 2
2,"Это особенно видно в речи Павла на суде, которая построена по всем правилам классической <b><i>риторики</i></b> и включает в себя разнообразные ораторские приемы: регулярные периоды, градации, повторы, восклицания, обращения к слушателям и т. д. Андрей, напротив, воплощает в себе тип революционного мечтателя-визионера, чей подход к революционному движению носит в основном эмоциональный характер.","В-третьих, раздельное написание партий утверждает концепцию музыки, согласно которой музыка является не излагающим или выражающим искусством, подобно <b><i>риторике</i></b>, поэтике и диалектике, но, подобно арифметике, геометрии и астрономии, является искусством исчисляющим.",1,4 2 4
1,"Точное значение подлинника: ""Замените логику общением с людьми и учитесь <b><i>риторике</i></b> на обыкновенных разговорах"".","Нет и понимания дальнейшего идеологического фундамента протеста: часть лидеров отстаивает жесткую антипутинскую <b><i>риторику</i></b>, другие пытаются раскрутить украинскую тему, третьи высказываются за накачку общества на фоне социальных трудностей страны.",4,3 1 2
2,"""Историческая роль наших великих учителей Ленина и Сталина, -- говорит товарищ Маленков, -- состоит в том, что они, глубоко проникнув в теоретические основания марксизма и в <b><i>совершенстве</i></b> владея диалектическим методом, отстояли и защитили марксизм от всех извращений и гениально развили марксистское учение"".","По представлениям буддистов, путь души гораздо длиннее и не ограничен одной-единственной жизнью: душа претерпевает бесконечное число перерождений и получает освобождение, лишь достигнув <b><i>совершенства</i></b>.",1,4 4 4
2,"Итак, я поставил перед собою задачу в <b><i>совершенстве</i></b> овладеть этим чудовищным языком.",Только вот материал и дизайн становятся более продуманными и доводятся до <b><i>совершенства</i></b>.,1,4 2 4
4,"Нельзя было не поражаться <b><i>совершенству</i></b> формы, которого добивались мастера Цзущэ при обработке необожженного черепка.","Великолепные произведения создаются в этой стране повсеместно, но все же недосягаемым примером <b><i>совершенства</i></b> являются изделия балийских мастеров.",4,1 4 3
2,"В <b><i>советчики</i></b> меня зовет, а из меня какой <b><i>советчик</i></b> Да и плевать ей на меня.","Бывает очень горько сознавать, что ты мог спасти человека, если бы он чуть раньше обратил внимание на крошечное пятнышко, переродившееся в серьезное онкологическое заболевание-меланому, непослушал бы вредных <b><i>советчиков</i></b>: ""Не трогай родинку -- от греха подальше!"" может образоваться практически из любого пигментированного образования на коже.",1,4 4 4
4,Страх -- плохой <b><i>советчик</i></b>: со страху немцы бросились на Россию.,"Ему нужен был верный друг -- и как <b><i>советчик</i></b>, и как помощник, -- и такой у него имелся: раненный в сече на Ильмене Кари",1,4 4 4
4,"Председатель старается допытаться: да не может этого быть! да неужели своею рукой -- и все строчки да вы, наверное, только подписали, а кто писал а кто <b><i>советчики</i></b> И потом: зачем вы в воззвании упоминаете о травле, которую газеты ведут против вас (Ведь травят вас, зачем же это слышать нам...)","Торопливость здесь -- плохой помощник, а зависть -- никчемный <b><i>советчик</i></b>.",1,4 4 3
2,"Общая площадь наших двух комнат немного больше 30 м2, одна служила спальней, столовой и детской, другая (проходная, очень маленькая) была папиным кабинетом -- там у окна стоял папин рабочий стол (папа сам его отремонтировал), с книжными полками по <b><i>стенам</i></b> над столом.",Я поднялся и пошел вдоль <b><i>стены</i></b>.,1,4 4 4
2,"Обычно в десятом часу за <b><i>стеной</i></b> происходило чтение -- хозяйка читала внуку ""Войну и мир"".",Чисто выбеленные <b><i>стены</i></b> и потолок.,1,4 4 4
1,"Лазаренко артисты, явившиеся 16 января с.г. на заседание президиума, чтобы понять, какую <b><i>стену</i></b> воздвиг между собой и исполнителями т. Лазаренко.","Сначала оно неожиданно чарующе прозвучало по-немецки, переведенное в ГДР, и нечаянно наложилось на тему разделенности уже не двух людей, а целого народа Берлинской <b><i>стеной</i></b>.",4,1 1 3
3,На больших <b><i>тачках</i></b> подвозили мы ящики с французскими винами.,Однако красавец-джип выглядел престижней отечественной <b><i>тачки</i></b>.,4,1 1 1
1,"Многие работали в ножных кандалах, а некоторые были цепями прикованы к <b><i>тачкам</i></b>.","Если Жердяй узнает, что я разболтал кому-то насчет угнанной <b><i>тачки</i></b> и стволов, меня со стоянки выгонят.",4,1 1 1
3,"И в дальнейшем служитель привозил нам эти книги -- так они были громоздки -- на <b><i>тачке</i></b>, а жили мы в отеле на горе, над Висбаденом, на Нероберге.","<b><i>Тачка</i></b> у нее классная, -- видел кто-то из наших, когда она сюда приезжала.",4,1 1 1
1,"Он сложил четверых пиратов на <b><i>тачку</i></b>, а Дурошлепа выдернул из земли и взял под мышку.","Зато ее новенькая <b><i>тачка</i></b> полетела выше фонарного столба, здоровски!",4,1 1 1
2,"Однажды Петр застал сына в сарае, мальчик пытался пристроить к старому корыту колесо <b><i>тачки</i></b>.","Таня и Освальд не решались сойти с тропы, чтобы не наступить на змею, не потревожить эльфа с крошечной <b><i>тачкой</i></b>, не поднять из логова сказочного волка.",1,4 3 4
1,Сходным образом люди вдруг меняются под угрозой <b><i>увольнения</i></b>.,"Кстати, и на недавнем Всеармейском совещании было сказано, что контрактники -- обычные солдаты, 24 часа в казарме, выходы в город только в <b><i>увольнение</i></b>, да и то, если заслужат.",4,1 1 1
1,"Команда, за исключением вахтенных, ушла в <b><i>увольнение</i></b>, в город.","Первым плохим признаком стал запущенный в прессу слух, что сразу же после <b><i>увольнения</i></b> Примакова Рапота сам подал в отставку, а на его место уже подбирается новая кандидатура.",4,1 4 3
3,Призыв 1902 года в 1924 году дал Красной армии 4.700 партийцев; при <b><i>увольнении</i></b> же этого возраста в 1926 году в запас Красная армия дала стране 19.439 партийцев.,<b><i>Увольнение</i></b> производится в порядке очередности.,4,1 4 3
1,Здесь нужно отметить выдающиеся работы действительного члена Белорусской Академии Наук Н. А. Прилежаева (1873-1944) над окислением непредельных <b><i>углеводородов</i></b> и их производных с одной или несколькими двойными связями гидроперекисью бензоила.,Будем также продолжать способствовать диалогу между независимыми производителями нефти и государствами -- членами ОПЕК и вновь отмечаем нашу заинтересованность в продвижении контактов между странами-производителями и потребителями нефти в интересах обеспечения устойчивости международного рынка <b><i>углеводородов</i></b>.,4,1 1 1
4,Созданная по этому принципу в СССР передвижная установка способна обработать в час до 500 кг буровых отходов -- в ее топке циклонного типа шлам полностью лишается <b><i>углеводородов</i></b> и потому не содержит более органических соединений.,"Это действительно так, поскольку само название ""парафины"" означает крайнюю инертность этих <b><i>углеводородов</i></b> метанового ряда.",4,3 1 1
4,"Бутлеров на заседании Русского химического общества сделал сообщение об открытии Густавсона: ""...бромирование ароматических <b><i>углеводородов</i></b> в присутствии самых малых количеств бромистого алюминия, -- говорил он, -- идет весьма энергично и требует охлаждения до 0.","Теперь люди не нужны, и когда людей становится меньше, то от этого только лучше, потому что на оставшихся приходится больше <b><i>углеводородов</i></b>.",1,3 4 3
3,Понемногу мы привыкали к своему домику и своему новому <b><i>укладу</i></b>.,"В странах Европы всегда происходило соприкосновение, а нередко и противоборство, с местной традицией, куда входили и эстетические представления заказчиков, и бытовой <b><i>уклад</i></b>, и местные ремесленные корпорации.",4,2 3 1
4,"Как-никак тут был его первый личный дом, закладка его собственной семьи, и он, играя иногда во внешнюю нелюбовь ко всем ""порядкам"" и ворча на сковывающие мелочи семейных отношений, внутренне придавал <b><i>укладу</i></b> жизни большое значение.",Мир стоит перед выбором перехода на новый технологический <b><i>уклад</i></b>.,4,2 1 4
4,"Но это рассуждение неправильно, ибо забывает всю совокупность наличных общественно-экономических <b><i>укладов</i></b>, выхватывая только два из них.","И только два века спустя, в эпоху Возрождения, в связи с огромными переменами в <b><i>укладе</i></b> жизни и культуре претерпела радикальные изменения шахматная игра",4,3 3 1
4,"Не культурничество, а стройка пролетарской культуры, не подмена икон старого быта новыми (так обстоит дело с подстановками в ритуалах семейного и религиозного <b><i>уклада</i></b>), но стройка целесообразных форм повседневного бытия.","В стране вместе с зарождением нового экономического <b><i>уклада</i></b> произошла сначала криминальная, а потом бюрократическая революции.",4,3 2 3
1,"Скаредный Чернышев трепетал между <b><i>фаворитами</i></b>, он вполголоса вымолвил, что самой императрице ехать-де вредно, и сделал вид, что спешит записать имена тех полков, которым к Москве ""маршировать вновь повелено"".","Бесспорным <b><i>фаворитом</i></b> в унисон называют российский клуб, наводящий ужас на французов уже подбором игроков: Игорь Куделин, Эурелиус Жукаусас, Джеймс Робинсон, Тони Фармер, Горан Ягодник.",4,1 1 1
1,"Один из кандидатов, Нуждин -- ставленник Лысенко, бывшего тогда <b><i>фаворитом</i></b> Хрущева.",Ну а <b><i>фаворитами</i></b> предстоящих Игр являются сборные Китая и США.,4,1 1 2
1,"Оказывается, была перехвачена переписка наперсника Павла, князя Куракина, с Бибиковым, который в своей корреспонденции отзывался неуважительно об Екатерине и ее <b><i>фаворитах</i></b>.","В следующий раз, уверен, это будет один из <b><i>фаворитов</i></b> турнира.",4,1 2 1
4,<b><i>Хозяйка</i></b> стукала и звякала на кухне.,"Такие ""пастухи"" прекрасно слушаются свою <b><i>хозяйку</i></b>, а собратья послушно следует за ними.",4,1 2 1
1,"Сухонькая голубоглазая <b><i>хозяйка</i></b> в темном повойнике, с кротким выражением на безответном лице, хлопочет у печки: ворочает уголья, гремит хватом, двигает чугуники.","Иногда мне казалось, что эти заколдованные предметы несли в себе не только характер своей <b><i>хозяйки</i></b>, но и становились ее глазами и ушами.",4,3 1 1
1,"Придет партизан с задания, <b><i>хозяйка</i></b> соберет на стол, поставит чарочку, угощает: -- Закуси вот да выпей.","-- А вы здесь в каком качестве -- поднимаясь на второй этаж за сопроводителем и прекрасно догадываясь, что тот выполняет роль телохранителя <b><i>хозяйки</i></b> заведения, поинтересовался Агейко.",4,2 2 1
1,"А ты откуда знаешь -- в свою очередь удивляется <b><i>хозяйка</i></b>, -- ведь ты меня нонь в первой раз видишь.","Мне вообще кажется, что будет неплохо (разумеется, при согласии <b><i>хозяйки</i></b> раздела), если в этой теме появятся и другие рассказы, как, например, в теме про приучение к горшку.",4,2 1 2
4,"Заявление, что второй том умнее первого, размышления о <b><i>цензуре</i></b> словно свидетельствуют о благополучной творческой работе писателя и даже о приближении ее к концу.","Сегодня в обществе очень высока потребность в <b><i>цензуре</i></b>, моральной <b><i>цензуре</i></b",4,4 3 1
4,"В письме Погодину Гоголь пишет: ""Если в случае глупая <b><i>цензура</i></b> привяжется к тому, что ""Нос"" не может быть в Казанской церкви, то пожалуй можно его перевести в католическую.",В свое время в том же искусстве преуспела советская фантастика -- при активном участии института советской же <b><i>цензуры</i></b>.,4,3 4 1
4,"Называлась <b><i>цензура</i></b> почему-то ГЛАВЛИТ, и мне до сих пор неизвестно, что это обозначало: главная литература глава литературы Однако за этой расплывчатой неопределенностью названия скрывалась самая жесткая и весьма определенная структура.","Новая ""красная <b><i>цензура</i></b>"" была установлена не Сталиным, а еще Лениным.",4,3 4 1
2,"Первая беседа прошла неудачно, так как я не смог достать карты Испании и вообще беседа была, как мне кажется, суховата: слишком много <b><i>цифр</i></b>.","Расчетная <b><i>цифра</i></b> предельных затрат, которая должна была бы обеспечить верную победу его кандидату, осталась в далеком прошлом: ежедневно в подвале, чьи стены, потертые медлительным шорканьем человеческой массы, изменили цвет с кофейного на грязно-розовый, выдавались на руки сумасшедшие суммы.",1,4 3 4
2,Паевой капитал против намеченных контрольных <b><i>цифр</i></b> в 84.363 р. доведен до 124.297 руб.,"Согласитесь, в <b><i>цифре</i></b> 9 есть нечто мистическое.",1,3 4 4
1,В годовщину свадьбы буду выставлять на балконе огненные <b><i>цифры</i></b>.,"Сергей Глазьев с <b><i>цифрами</i></b> в руках наглядно доказал, что идет хищническая добыча нефти и газа, главная цель которой -- сверхприбыль любой ценой.",4,1 2 1
2,"О том, как неуклонно накапливалась информация о структуре РНК, свидетельствуют <b><i>цифры</i></b>.","В тоже время в компании утверждают, что план по добыче ""не изменится ни на йоту"" (ранее называлась <b><i>цифра</i></b> в 1,6 миллиардов долларов или 1,8 миллиардов с учетом всех дочек), вырастут лишь капитальные вложения (до этого они рассчитывались на уровне 12,4 миллиардов рублей).",1,3 4 4
